Unnamed: 0,id,free_text,CLEAN,OFFENSIVE,HATE,label_id
0,test_tzhvctpjpv,""" cứ mỗi khi có bản mới là các con giời lại hỏi nhau pin thế_nào """,1.0,0.0,0.0,0.0
1,test_ediiwgyrlr,""" bọn này bị ám_ảnh cực_độ với pin từ việc sạc chậm cho khỏi nóng canh thời_gian sạc canh mốc pin để sạc soi độ chai pin với thói_quen ngu_đần vuốt kill mọi app trước khi tắt màn_hình haha """,0.0,0.0,1.0,2.0
2,test_mricyxnsdx,""" sau khi gta ra_mắt thì đây sẽ là khẩu_hiệu của tôi chúng_ta sẽ có trc cả khi hsr có char nam lượng_tử đầu_tiên """,1.0,0.0,0.0,0.0
3,test_hnpmdwcbvf,""" sợ mai_mốt mà ra nam lượng_tử có_khi lại có mấy ông giãy_nảy lên nữa bảo phá đội_hình_như đợt sunday luôn ấy chứ ocd đồ đó """,1.0,0.0,0.0,0.0
4,test_dnwyxwrsck,""" biết vì_sao ko vì mấy anh zai như thế chỉ có trong tưởng_tượng """,1.0,0.0,0.0,0.0
5,test_jsbqsgpbhl,""" số_ảo nói không với char nam sao và lượng_tử nói không với char nam """,1.0,0.0,0.0,0.0
6,test_ywdlaaolkr,""" trong phim mà nói dc như này có phải dc tung_hô ko """,1.0,0.0,0.0,0.0
7,test_klraaibrsc,""" tuyệt_vời """,1.0,0.0,0.0,0.0
8,test_tggkswvpgv,""" đổi thành bố mày vừa ác vừa hèn nhỉ lúc đến đấy gặp trẻ_con_người già thì giết ko thương_tiếc để ra_vẻ khoe công lúc thấy bóng_dáng_bộ_đội vn cái thì lại chạy bán sống bán chết như đàn_nai chạy khỏi hổ thì cũng hợp_lý đấy """,0.0,0.0,1.0,2.0
9,test_skxhqokdgy,""" rồng xanh mãnh_hổ bạch mã nghe cũng kêu đấy nhưng nếu họ chiến_đấu vs quân giải_phóng có thua thì cũng ko có gì đáng nói đây toàn đi giết người dân vô_tội từ người già đến trẻ nhỏ hãm_hiếp phụ_nữ đúng loại đớn_hèn vậy_mà cũng đáng để tự_hào lũ hàn xẻng này """,0.0,0.0,1.0,2.0
10,test_dzrfuduxrt,""" mang danh lính đánh_thuê mà cũng đòi tự_hào đúng bọn thẩm du tinh_thần khác gì bọn sọc đâu """,0.0,0.0,1.0,2.0
11,test_vlupclkmgh,""" khả_năng là phụ_đề đã được sửa từ chiến_đấu thành xâm_lược và câu bố cậu khốn_nạn nhỉ cũng có_thể là nội_dung khác ai biết tiếng hàn giúp anh_em với nhỉ """,1.0,0.0,0.0,0.0
12,test_eaewfddwuo,""" vấn_đề k phải sai sử mà là với câu bố cậu là ng tuyệt_vời nhỉ khi tham_gia ctranh vn tức ý nói vn bị chtranh khi đó là điều tuyệt_vời tại_sao có_thể nói về điều_kinh_khủng tội_ác_là tuyệt_vời cơ chứ """,1.0,0.0,0.0,0.0
