,id,free_text,CLEAN,OFFENSIVE,HATE,label_id 
0,test_tzhvctpjpv,Cứ mỗi khi có bản mới là các con giời lại hỏi nhau pin thế nào😂😂,1,0,0,0
1,test_ediiwgyrlr,"Bọn này bị ám ảnh cực độ với pin 😨😨 từ việc sạc chậm cho khỏi nóng, canh thời gian sạc, canh mốc pin để sạc, soi độ chai pin, với thói quen ngu đần vuốt kill mọi app trước khi tắt màn hình. :haha:",0,0,1,2
2,test_mricyxnsdx,"Sau khi GTA 6 ra mắt thì đây sẽ là khẩu hiệu của tôi 😏:""Chúng ta sẽ có ... trc cả khi HSR có char Nam Lượng Tử đầu tiên"" 🐧",1,0,0,0
3,test_hnpmdwcbvf,"Sợ mai mốt mà ra nam lượng tử có khi lại có mấy ông giãy nảy lên nữa bảo phá đội hình như đợt Sunday luôn ấy chứ, ""OCD"" đồ đó 🤡",1,0,0,0
4,test_dnwyxwrsck,biết vì sao ko? vì mấy anh zai như thế chỉ có trong tưởng tượng :))))),1,0,0,0
5,test_jsbqsgpbhl,"Số ảo nói không với char nam 4 sao, và lượng tử nói không với char nam =))",1,0,0,0
6,test_ywdlaaolkr,Trong phim mà nói dc như này có phải dc tung hô ko :))))),1,0,0,0
7,test_klraaibrsc,Tuyệt vời🥰,1,0,0,0
8,test_tggkswvpgv,"Đổi thành ""Bố mày vừa ác vừa hèn nhỉ, lúc đến đấy gặp trẻ con người già thì giết ko thương tiếc để ra vẻ khoe công, lúc thấy bóng dáng bộ đội VN cái thì lại chạy bán sống bán chết như đàn nai chạy khỏi hổ"" thì cũng hợp lý đấy:)))",0,0,1,2
9,test_skxhqokdgy,"rồng xanh, mãnh hổ, bạch mã nghe cũng kêu đấy nhưng nếu họ chiến đấu vs quân giải phóng có thua thì cũng ko có gì đáng nói đây toàn đi giết người dân vô tội từ người già đến trẻ nhỏ, hãm hiếp phụ nữ, đúng loại đớn hèn, vậy mà cũng đáng để tự hào, lũ hàn xẻng này 🖕",0,0,1,2
10,test_dzrfuduxrt,"mang danh lính đánh thuê mà cũng đòi tự hào, đúng bọn thẩm du tinh thần, khác gì bọn 3 sọc đâu 😠😠😠",0,0,1,2
11,test_vlupclkmgh,Khả năng là phụ đề đã được sửa từ “chiến đấu” thành “xâm lược” và câu “bố cậu khốn nạn nhỉ?” cũng có thể là nội dung khác. Ai biết tiếng Hàn giúp anh em với nhỉ.,1,0,0,0
12,test_eaewfddwuo,"vấn đề k phải sai sử. Mà là với câu "" bố cậu là ng tuyệt vời nhỉ"" khi tham gia ctranh VN, tức ý nói Vn bị chtranh khi đó là điều tuyệt vời? Tại sao có thể nói về 1 điều kinh khủng, 1 tội ác là tuyệt vời cơ chứ.",1,0,0,0
13,test_qwwbqppgwn,"Sai với dân tộc VN. Cái tư tưởng của bọn họ diễn giải với dân chúng bọn họ như vậy. Việc này cần được lên án, thậm chí Cục điện ảnh cần có văn bản gửi sang phía HQ, đề nghị k cho phép xuất hiện thêm những ấn phẩm như vậy, tỏ ra quan điểm là VN bọn tao k cho phép ch mày nói gì thì nói. Nhiều khi thấy TQ độc tài, cấm nọ cấm kia nhưng riêng trường hợp này thì cần 1 cách xử lý độc tài đấy. Thế giới cần công nhận những cuộc chiến tranh diễn ra trên đất nước ta từ xưa tới nay là phi nghĩa, vô nhân đạo, chúng ta giữ gìn chủ quyền dân tộc chứ chúng ta không đánh chiếm đất nước họ. Mà làm như họ tham chiến trên đất ta là điều tuyệt vời lắm vậy?.",1,0,0,0
14,test_qzwhkmdxof,"Tôi thấy mọi người quá khắt khe, với người HQ thì họ tự hào ko có gì sai cả. Ngày trước trai ko đi đánh thuê, gái ko đi làm điếm thì làm gì đc bố Mỹ bảo kê.",1,0,0,0
15,test_sebnkvltas,một sự thâm thuý độc địa của anh trai làm tôi hả dạ trong lòng! đúng thế,1,0,0,0
16,test_qydlycduep,Tân ăn tết sớm thế tết Việt hơn 1 tháng nữa lận mà ? Bên Tây chắc là nói tết Tây hả 🤧🤧,1,0,0,0
17,test_rvekwblqgc,"chuẩn bn, chó Hàn sao dám cãi lại chủ Mỹ, cãi lại nửa câu là phân cũng chả có để ăn",0,0,1,2
18,test_vibyiqwkiv,đang định viết văn nghị luận thì đọc được câu sau ạ,1,0,0,0
19,test_iyjzmsvisz,"Cuối năm rồi mà tiền 💵 nhiều quá , không tiêu hết sang năm nó cắt ngân sách là đói rã họng.",1,0,0,0
20,test_jembjgjocb,"Anh em cũng nên thông cảm cho nước họ, dù sao bị chia cắt thành đôi bao năm không thống nhất được như nước mình thì họ cay cũng là điều hiển nhiên, khi nào ae quyên góp tí nước đái qua cho bên hàn bớt cay ae ạ",1,0,0,0
21,test_wnelmnlhzc,"cay mẹ gì nó cứ tuyển culi từ Việt Nam qua đều đều, dell biết định nghĩa cay của bây là gì luôn 🤷‍♂️",0,1,0,1
22,test_vfhttuxnfz,óc con chó phát biểu . xklđ chết cđm không lo,0,1,0,1
23,test_iboujerzey,cay j vậy?? Ae vn chưởi um bên này ko biết bên đó nó có biết ko . Mà biết chắc nó cũg đéo care. Có ae VN tự thủ dâm nhau chứ nó cũng có cần VN xem đéo đâu mà cay. Vn tự chưởi tự cay thì có. Nếu nó cay thì chắc đã có đáp trả bữa giờ rồi,0,1,0,1
24,test_uhrdgazgve,"Em thấy chỉ phù hợp với quốc gia họ thôi, vốn dĩ người làm phim ""thuộc"" trong nước luôn có phần thiên vị cho nước họ. Xét trên nhiều góc độ mình cũng chưa tìm hiểu lịch sử chuyên sâu về họ và họ cũng vậy, vd lịch sử trước năm 1900 hiếm khi có ai nhắc về họ lắm.",1,0,0,0
25,test_niuxgmffie,vâng có thể là họ thiên vị cho nước họ nhưng có nhất thiết là phải thêm đoạn đó ko ?? Bọn hàn xẻng sợ triều tiên gưởi cho mấy quả nấm nên đổi thành việt nam đấy,1,0,0,0
26,test_jogfqvjytz,"Họ k xuyên tạc lịch sử, cái tức ở đây là họ tự hào với cái tội ác thối nát của mình.",1,0,0,0
27,test_ygioxwaroa,"khi bạn đói sắp chết thì có đồng bào đưa lương thực cướp được từ nơi khác về cho bạn thì liệu bạn có ăn hay chửi họ là những kẻ sát nhân, ác độc, thối nát. Tội ác của lính đánh thuê hàn thì khỏi phải nói, nhưng trong lòng phần lớn người dân thời đó thì họ chính là anh hùng người đã giúp bản thân khỏi bị chết đói. VN tui thấy cả đống người đưa ra hành vi sai phạm của mình để khoe khoang nói chuyện mà.",1,0,0,0
28,test_ghabxmrfyo,ai bảo ko xuyên tạc??? Chính phủ của nó vẫn luôn che đậy những hành vi vô nhân tính của đám lính đánh thuê với dân thường VN và nhảy đong đỏng mỗi khi giới chức Nhật Bản thăm đền Yasukuni.,0,1,0,1
29,test_ieymzibaib,"Cái tính năng nhỏ xíu như đầu tăm mà cũng phải update hệ điều hành, thật vl nhà Apple",0,0,1,2
30,test_xadtqyxilq,Ngày trc còn dùng Asistouch để tắt màn hình hoặc về màn hình chính thay vì bấm phím nguồn vs phím home cơ. Clm khổ dâm vcl,0,1,0,1
31,test_uuqizinzwk,Bao giờ cho Iphone chia đôi màn hình được như androi nhỉ. Cần nhất tính năng này thì không có,1,0,0,0
32,test_tfodjjjaon,Tính năng lại chỉ được dùng trên máy đời cao. Còn máy đời thấp thì cút :))),0,1,0,1
33,test_oihntrcnif,thiếu cái chỉ cho dòng 15 trở nên dùng được mới đúng apple,1,0,0,0
34,test_cwbnvcowsz,Ỉa chảy :))))),1,0,0,0
35,test_zywqqdtars,"Chắc thế thật, vì cái chức năng giới hạn phần trăm nạp pin máy cũ cũng không có.",1,0,0,0
36,test_aqyqfaffoz,Đù nhìn tính năng này của ip chỉ biết ước,0,1,0,1
37,test_ezmrdxrjcm,Cbi rất nhiều oto chở cứt vào chửi cửa hàng=))),0,1,0,1
38,test_bmlfykilvq,Vậy là cấm mua hàng luôn,1,0,0,0
39,test_okhhyzyhfi,đọc hiểu có vấn đề hả,1,0,0,0
40,test_zodsklyjgw,đọc hiểu kém thế,1,0,0,0
41,test_qqxqqtbosy,"học lớp mấy r ,đọc chữ dc k",1,0,0,0
42,test_ubeexbxvfz,"khi nào chúng m bỏ 30-40 triệu 1 tháng để thuê mặt bằng kinh doanh thì chúng m sẽ hiểu đc cảm giác của họ,còn đi làm thuê thì đừng có mõm",1,0,0,0
43,test_ybriyjhhlt,đúng chính xác nhà mình đây không đi thuê xe họ đỗ chắn hết cả cửa hàng luôn chả buôn bán được gì luôn nói ra thì bảo ích kỷ mệt,1,0,0,0
44,test_duinsgfeow,"tiếc cái mấy đứa mõm thì toàn làm thuê, sao hiểu dc cảm giác đó :)))) khéo ở trọ mà ngta để ké đôi dép thôi cũng la ùm trời rồi bày đặt lên mạng sống đạo lý =)))",1,0,0,0
45,test_hcpjwabrol,đúng ra thuê mặt bằng thôi có thuê đường đâu.đường của nhà nước đường để qua lại mà. Vỉa hè mà đúng luật cũng chỉ có một khúc thôi còn để 1 khúc cho người đi bộ ấy chứ. Nhưng ai mà đậu xe dưới đường chặn miếng cơm của người ta thì cũng là thành phần ý thức kém ko chấp nhận được.,1,0,0,0
